ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
002009.SZ,20190430,9.62,9.9,10.05,9.48,9.96,-0.34,-0.0341,11944415.0,115942161.17
002009.SZ,20190426,9.96,11.44,11.51,9.95,11.5,-1.54,-0.1339,44932503.0,482464750.6
002009.SZ,20190419,11.5,10.74,11.55,10.13,10.53,0.97,0.0921,78895274.0,868961998.26
002009.SZ,20190412,10.53,11.37,11.4,10.38,11.27,-0.74,-0.0657,57556337.0,626476184.13
002009.SZ,20190404,11.27,10.95,11.46,10.93,10.86,0.41,0.0378,39811203.0,449451664.65
002009.SZ,20190329,10.86,11.0,11.15,10.38,11.22,-0.36,-0.0321,42058392.0,451267750.91
002009.SZ,20190322,11.22,11.02,11.54,10.91,11.0,0.22,0.02,47688513.0,535525194.95
002009.SZ,20190315,11.0,11.4,12.55,10.65,11.17,-0.17,-0.0152,74100502.0,854341767.0
002009.SZ,20190308,11.17,10.83,12.72,10.67,10.68,0.49,0.0459,105589961.0,1218472661.06
002009.SZ,20190301,10.68,9.46,10.95,9.24,9.28,1.4,0.1509,105111822.0,1060707730.77
002009.SZ,20190222,9.28,9.05,9.5,8.91,8.99,0.29,0.0323,84978721.0,778391058.94
002009.SZ,20190215,8.99,7.97,9.24,7.93,7.9,1.09,0.138,93040850.0,807684655.26
002009.SZ,20190201,7.9,7.98,8.16,7.5,7.92,-0.02,-0.0025,35605970.0,278673371.64
002009.SZ,20190125,7.92,8.1,8.22,7.67,8.13,-0.21,-0.0258,38999250.0,308309511.97
002009.SZ,20190118,8.13,7.99,8.48,7.83,8.0,0.13,0.0163,31990352.0,259253136.48
002009.SZ,20190111,8.0,7.76,8.07,7.65,7.61,0.39,0.0512,26200585.0,206442978.86
002009.SZ,20190104,7.61,7.58,7.67,7.21,7.56,0.05,0.0066,12482334.0,93668079.98
002009.SZ,20181221,8.01,8.3,8.48,7.93,8.37,-0.36,-4.3011,381590.57,312346.868
002009.SZ,20181214,8.37,7.54,8.68,7.51,7.64,0.73,9.555,406811.52,336866.553
002009.SZ,20181207,7.64,7.81,8.05,7.61,7.63,0.01,0.1311,201993.34,158810.027
002009.SZ,20181130,7.63,7.69,7.88,7.43,7.73,-0.1,-1.2937,188284.25,144878.0
002009.SZ,20181123,7.73,8.43,8.45,7.67,8.45,-0.72,-8.5207,353184.72,287975.482
002009.SZ,20181116,8.45,7.94,8.56,7.86,7.95,0.5,6.2893,358531.27,297301.171
002009.SZ,20181109,7.95,7.85,8.1,7.7,7.8,0.15,1.9231,320769.53,253966.556
002009.SZ,20181102,7.8,7.36,7.92,7.12,7.35,0.45,6.1224,314190.81,238525.944
002009.SZ,20181026,7.35,7.15,7.62,6.95,7.08,0.27,3.8136,281640.34,206855.885
002009.SZ,20181019,7.08,7.27,7.35,6.75,7.31,-0.23,-3.1464,232364.83,163550.822
002009.SZ,20181012,7.31,8.68,8.68,6.9,8.87,-1.56,-17.5874,323861.3,253268.058
002009.SZ,20180928,8.87,9.05,9.25,8.76,9.14,-0.27,-2.954,268228.68,241267.111
002009.SZ,20180921,9.14,8.86,9.16,8.65,8.88,0.26,2.9279,216072.6,193763.782
002009.SZ,20180914,8.88,9.46,9.54,8.83,9.38,-0.5,-5.3305,203403.8,185289.847
002009.SZ,20180907,9.38,9.9,9.92,9.33,9.81,-0.43,-4.3833,164791.6,158301.003
002009.SZ,20180831,9.81,10.35,10.7,9.68,10.41,-0.6,-5.7637,136930.73,141030.254
002009.SZ,20180824,10.41,10.56,10.78,10.35,10.57,-0.16,-1.5137,85443.36,89823.897
002009.SZ,20180817,10.57,10.64,10.89,10.39,10.75,-0.18,-1.6744,106616.4,114013.887
002009.SZ,20180810,10.75,10.16,10.84,10.12,10.3,0.45,4.3689,157393.07,165664.434
002009.SZ,20180803,10.3,11.64,11.71,10.02,11.98,-1.68,-14.0234,287808.68,313225.4
002009.SZ,20180727,11.98,11.88,12.84,11.88,11.98,0.0,0.0,262828.49,322844.96
002009.SZ,20180720,11.98,11.99,12.15,11.72,11.96,0.02,0.1672,178033.65,213017.439
002009.SZ,20180713,11.96,11.51,12.14,11.49,11.41,0.55,4.8203,177989.93,211114.867
002009.SZ,20180706,11.41,12.0,12.35,11.21,11.97,-0.56,-4.6784,194251.88,229908.113
002009.SZ,20180629,11.97,11.8,12.31,11.45,11.69,0.28,2.3952,152636.99,180564.246
002009.SZ,20180622,11.69,12.65,12.66,11.08,12.74,-1.05,-8.2418,211878.32,248615.111
002009.SZ,20180615,12.74,12.98,13.44,12.68,13.23,-0.49,-3.7037,183849.96,240363.428
002009.SZ,20180608,13.23,13.59,13.7,12.43,13.56,-0.33,-2.4336,232676.94,308966.918
002009.SZ,20180601,13.56,14.11,15.0,12.6,14.2,-0.64,-4.507,316479.32,440671.653
002009.SZ,20180525,14.2,15.28,15.62,13.81,15.25,-1.05,-6.8852,419516.63,617141.931
002009.SZ,20180518,15.25,15.69,16.34,14.99,15.79,-0.54,-3.4199,326539.74,515409.343
002009.SZ,20180511,15.79,15.25,15.98,15.13,15.3,0.49,3.2026,317156.65,497529.605
002009.SZ,20180504,15.3,15.35,15.65,15.18,15.37,-0.07,-0.4554,171137.79,263432.579
002009.SZ,20180427,15.37,15.16,15.58,14.5,15.16,0.21,1.3852,230516.97,349299.508
002009.SZ,20180420,15.16,14.64,16.18,14.55,14.75,0.41,2.7797,463529.85,720871.892
002009.SZ,20180413,14.75,14.67,15.6,14.36,14.68,0.07,0.4768,282868.2,425905.885
002009.SZ,20180406,14.68,15.57,15.58,14.36,15.57,-0.89,-5.7161,221812.17,329190.139
002009.SZ,20180330,15.57,13.54,15.71,13.3,13.9,1.67,12.0144,351735.66,514839.318
002009.SZ,20180323,13.9,16.26,16.69,13.84,16.26,-2.36,-14.5141,344702.4,528557.7
002009.SZ,20180316,16.26,16.75,17.7,16.08,16.75,-0.49,-2.9254,552994.25,930553.126
002009.SZ,20180309,16.75,16.69,17.08,16.28,16.58,0.17,1.0253,219241.6,364084.995
002009.SZ,20180302,16.58,15.04,17.15,15.02,15.45,1.13,7.3139,494886.7,800265.686
002009.SZ,20180223,15.45,13.9,15.82,13.86,13.84,1.61,11.6329,159256.57,239427.399
002009.SZ,20180216,13.84,12.95,13.84,12.88,12.88,0.96,7.4534,95748.12,129054.685
002009.SZ,20180209,12.88,15.2,15.4,12.53,14.89,-2.01,-13.499,333552.03,452919.873
002009.SZ,20180202,14.89,16.2,16.36,13.47,16.36,-1.47,-8.9853,222701.16,326236.928
002009.SZ,20180126,16.36,15.7,16.94,15.5,15.7,0.66,4.2038,160883.48,262902.73
002009.SZ,20180119,15.7,17.33,17.55,14.84,17.4,-1.7,-9.7701,353496.07,550805.737
002009.SZ,20180112,17.4,16.96,17.75,16.58,17.08,0.32,1.8735,192686.22,330221.106
002009.SZ,20180105,17.08,17.39,17.71,16.8,16.86,0.22,1.3049,140059.75,240781.958
002009.SZ,20171229,16.86,16.68,17.8,16.28,16.76,0.1,0.5967,191003.89,324332.978
002009.SZ,20171222,16.76,17.97,18.04,16.75,17.97,-1.21,-6.7334,199676.92,345029.577
002009.SZ,20171215,17.97,16.88,18.2,16.78,16.49,1.48,8.9751,250831.05,440415.141
002009.SZ,20171208,16.49,17.17,17.8,15.7,17.15,-0.66,-3.8484,255575.64,426942.916
002009.SZ,20171201,17.15,17.15,18.21,16.45,17.4,-0.25,-1.4368,193364.46,335274.18
002009.SZ,20171124,17.4,17.13,18.3,16.15,17.05,0.35,2.0528,303530.66,534323.02
002009.SZ,20171117,17.05,17.02,19.27,16.8,16.9,0.15,0.8876,684542.08,1228307.634
002009.SZ,20171110,16.9,15.1,17.03,15.08,15.19,1.71,11.2574,355876.64,588140.247
002009.SZ,20171103,15.19,16.0,16.25,14.86,16.09,-0.9,-5.5935,202822.0,310398.26
002009.SZ,20171027,16.09,16.26,16.43,15.9,16.26,-0.17,-1.0455,128493.72,207815.491
002009.SZ,20171020,16.26,16.36,16.56,15.65,16.35,-0.09,-0.5505,212021.45,340595.764
002009.SZ,20171013,16.35,16.0,16.91,16.0,15.85,0.5,3.1546,370861.16,613919.245
002009.SZ,20170929,15.85,14.65,15.85,14.65,14.6,1.25,8.5616,333903.31,510132.559
002009.SZ,20170922,14.6,14.89,15.03,14.4,14.89,-0.29,-1.9476,207447.81,304783.439
002009.SZ,20170915,14.89,14.05,15.05,13.92,14.07,0.82,5.828,337314.16,492782.548
002009.SZ,20170908,14.07,13.7,14.08,13.36,13.6,0.47,3.4559,262428.25,360276.935
002009.SZ,20170901,13.6,13.24,13.69,13.0,13.23,0.37,2.7967,269316.84,360432.31
002009.SZ,20170825,13.23,13.29,13.5,12.92,13.11,0.12,0.9153,213510.3,281771.522
002009.SZ,20170818,13.11,12.5,13.33,12.15,12.82,0.29,2.2621,250433.67,319392.089
002009.SZ,20170811,12.82,12.78,13.58,12.66,12.76,0.06,0.4702,196700.5,256243.84
002009.SZ,20170804,12.76,12.63,13.55,12.63,12.65,0.11,0.8696,268468.76,351195.228
002009.SZ,20170728,12.65,12.8,13.19,12.55,12.92,-0.27,-2.0898,271943.5,348963.831
002009.SZ,20170721,12.92,12.19,13.2,11.15,12.29,0.63,5.1261,270109.64,333917.482
002009.SZ,20170714,12.29,12.36,12.58,12.06,12.43,-0.14,-1.1263,185834.51,228684.289
002009.SZ,20170707,12.43,11.43,12.74,11.4,11.42,1.01,8.8441,398450.5,485372.381
002009.SZ,20170630,11.42,11.78,11.93,11.3,11.83,-0.41,-3.4658,313869.34,364168.742
002009.SZ,20170623,11.83,11.63,11.94,11.53,11.64,0.19,1.6323,186552.76,218741.39
002009.SZ,20170616,11.64,11.6,11.75,11.41,11.7,-0.06,-0.5128,135950.53,157443.358
002009.SZ,20170609,11.7,11.21,11.84,11.17,11.21,0.49,4.3711,211543.61,244277.587
002009.SZ,20170602,11.21,11.59,11.69,10.81,11.56,-0.35,-3.0277,141064.08,158255.261
002009.SZ,20170526,11.56,11.0,11.65,10.83,11.0,0.56,5.0909,368898.9,416005.043
002009.SZ,20170519,11.0,11.02,11.24,10.51,10.97,0.03,0.2735,241636.31,264008.42
002009.SZ,20170512,10.97,11.1,11.36,10.7,11.18,-0.21,-1.8784,278311.32,309885.141
002009.SZ,20170505,11.18,11.67,11.7,10.89,11.79,-0.61,-5.1739,464965.26,524131.377
