ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
601668.SH,20190222,6.03,6.07,6.15,5.92,6.03,0.0,0.0,8583010.2,5193262.058
601668.SH,20190215,6.03,6.1,6.25,6.01,6.13,-0.1,-1.6313,5720655.61,3506567.599
601668.SH,20190201,6.13,6.11,6.18,6.01,6.05,0.08,1.3223,4271925.85,2606913.853
601668.SH,20190125,6.05,5.97,6.1,5.82,5.98,0.07,1.1706,4271748.34,2548166.008
601668.SH,20190118,5.98,5.68,5.98,5.64,5.69,0.29,5.0967,4060658.48,2356086.576
601668.SH,20190111,5.69,5.79,5.83,5.64,5.73,-0.04,-0.6981,3439977.3,1972876.885
601668.SH,20190104,5.73,5.67,5.74,5.52,5.7,0.03,0.5263,2685248.22,1512207.623
601668.SH,20181221,5.8,6.19,6.35,5.74,6.17,-0.37,-5.9968,11790358.7,7202732.677
601668.SH,20181214,6.17,5.91,6.25,5.83,5.94,0.23,3.8721,8705771.59,5287278.387
601668.SH,20181207,5.94,5.92,6.05,5.77,5.77,0.17,2.9463,8552941.84,5076164.621
601668.SH,20181130,5.77,5.48,5.79,5.44,5.43,0.34,6.2615,5915436.11,3339895.515
601668.SH,20181123,5.43,5.53,5.65,5.43,5.51,-0.08,-1.4519,4723374.47,2613117.619
601668.SH,20181116,5.51,5.29,5.54,5.28,5.29,0.22,4.1588,4245352.02,2292083.639
601668.SH,20181109,5.29,5.45,5.46,5.27,5.44,-0.15,-2.7574,3277612.5,1764922.925
601668.SH,20181102,5.44,5.37,5.5,5.15,5.32,0.12,2.2556,6802647.64,3650305.561
601668.SH,20181026,5.32,5.11,5.38,5.1,5.07,0.25,4.931,6057380.31,3186573.866
601668.SH,20181019,5.07,5.16,5.18,4.91,5.16,-0.09,-1.7442,4407333.29,2229322.224
601668.SH,20181012,5.16,5.34,5.44,5.03,5.49,-0.33,-6.0109,5452071.35,2863648.524
601668.SH,20180928,5.49,5.41,5.53,5.37,5.49,0.0,0.0,3683806.85,2009204.289
601668.SH,20180921,5.49,5.15,5.5,5.07,5.17,0.32,6.1896,6762590.46,3608204.846
601668.SH,20180914,5.17,5.13,5.2,5.07,5.16,0.01,0.1938,2872979.8,1477358.235
601668.SH,20180907,5.16,5.38,5.42,5.11,5.4,-0.24,-4.4444,3748297.55,1976687.352
601668.SH,20180831,5.4,5.44,5.57,5.34,5.41,-0.01,-0.1848,4083248.61,2229455.429
601668.SH,20180824,5.41,5.4,5.61,5.36,5.4,0.01,0.1852,4234111.28,2314242.829
601668.SH,20180817,5.4,5.73,5.79,5.39,5.8,-0.4,-6.8966,4125618.54,2320799.508
601668.SH,20180810,5.8,5.47,5.9,5.43,5.44,0.36,6.6176,6895790.49,3942625.03
601668.SH,20180803,5.44,5.75,6.0,5.39,5.74,-0.3,-5.2265,6625022.77,3783307.812
601668.SH,20180727,5.74,5.15,5.97,5.15,5.19,0.55,10.5973,11863041.96,6808247.861
601668.SH,20180720,5.19,5.12,5.23,5.02,5.13,0.06,1.1696,3098770.49,1583029.231
